src,dst
11,12
12,13
13,14
14,15
15,16
16,17
17,18
20,19
18,20
19,21
21,22
26,25
25,24
22,26
24,27
27,29
29,31
31,33
33,35
35,37
37,39
39,41
41,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,10
1,19
1,20
2,19
2,20
3,19
3,20
4,19
4,20
5,19
5,20
6,19
6,20
7,19
7,20
8,19
8,20
10,19
10,20
11,19
11,20
12,19
12,20
13,19
13,20
14,19
14,20
15,19
15,20
16,19
16,20
17,19
17,20
22,24
22,25
43,44
44,46
48,47
46,48
47,49
51,50
49,51
50,52
52,53
53,54
46,54
52,54
48,49
44,47
49,48
47,44
62,61
65,64
64,63
61,65
63,66
66,67
62,66
65,67
61,63
66,62
71,70
69,71
69,70
77,78
133,132
131,133
132,134
134,136
136,137
133,134
140,139
139,141
141,143
143,144
144,138
140,141
160,159
159,161
161,163
163,164
164,158
160,161
