id,name
11,ClassPathEntry.getAabFilter
12,ClassPathEntry.getJarFilter
13,ClassPathEntry.getAarFilter
14,ClassPathEntry.getWarFilter
15,ClassPathEntry.getEarFilter
16,ClassPathEntry.getJmodFilter
17,ClassPathEntry.getZipFilter
18,IF
20,ClassPathEntry.getName
19,PrintStream.println
21,IF
22,WildcardManager.<init>
26,FileNameParser.<init>
25,SingleFunctionParser.<init>
24,ListFunctionParser.<init>
27,RenamedDataEntryReader.<init>
29,IF
31,IF
33,IF
35,IF
37,IF
39,IF
41,IF
1,ClassPathEntry.isApk
2,ClassPathEntry.isAab
3,ClassPathEntry.isJar
4,ClassPathEntry.isAar
5,ClassPathEntry.isWar
6,ClassPathEntry.isEar
7,ClassPathEntry.isJmod
8,ClassPathEntry.isZip
10,ClassPathEntry.getApkFilter
43,ClassPathEntry.getFilter
44,IF
46,List.listIterator
48,ListIterator.hasNext
47,WHILE
49,ListIterator.next
51,String.contains
50,IF
52,ArrayList.<init>
53,List.add
54,List.addAll
62,List<?>.size
61,FOR
65,List<? extends Processable>.get
64,SimpleUsageMarker.isUsed
63,IF
66,List<?>.remove
67,List<? extends Processable>.remove
68,EVCacheImpl.<init>
69,HashMap<String_COMMA_Integer>.<init>
71,ServerGroup.toString
70,Map<String_COMMA_Integer>.put
77,HashMap<String_COMMA_String>.<init>
78,Map<String_COMMA_String>.put
94,IF
96,IF
131,IF
133,List<EVCacheClientImpl>.size
132,IF
134,List<EVCacheClientImpl>.get
136,List<EVCacheClientImpl>.size
137,List<EVCacheClientImpl>.get
140,List<EVCacheClientImpl>.size
139,IF
141,List<EVCacheClientImpl>.get
143,List<EVCacheClientImpl>.size
144,List<EVCacheClientImpl>.get
138,IF
157,Client.target
160,List<EVCacheClientImpl>.size
159,IF
161,List<EVCacheClientImpl>.get
163,List<EVCacheClientImpl>.size
164,List<EVCacheClientImpl>.get
158,IF
